fips,region,time,firms
01,Alabama,1978,54597
01,Alabama,1979,55893
01,Alabama,1980,54838
01,Alabama,1981,54791
01,Alabama,1982,53219
01,Alabama,1983,53724
01,Alabama,1984,57267
01,Alabama,1985,58402
01,Alabama,1986,59182
01,Alabama,1987,60479
01,Alabama,1988,62286
01,Alabama,1989,63461
01,Alabama,1990,64371
01,Alabama,1991,64112
01,Alabama,1992,64731
01,Alabama,1993,66352
01,Alabama,1994,68332
01,Alabama,1995,70251
01,Alabama,1996,71167
01,Alabama,1997,71754
01,Alabama,1998,72280
01,Alabama,1999,72253
01,Alabama,2000,71665
01,Alabama,2001,70660
01,Alabama,2002,70708
01,Alabama,2003,70985
01,Alabama,2004,71716
01,Alabama,2005,72486
01,Alabama,2006,73344
01,Alabama,2007,74189
01,Alabama,2008,73362
01,Alabama,2009,71187
01,Alabama,2010,69404
01,Alabama,2011,68310
01,Alabama,2012,67979
01,Alabama,2013,67609
01,Alabama,2014,67538
01,Alabama,2015,67458
01,Alabama,2016,68123
01,Alabama,2017,68250
01,Alabama,2018,68159
02,Alaska,1978,7107
02,Alaska,1979,7264
02,Alaska,1980,7123
02,Alaska,1981,7477
02,Alaska,1982,8073
02,Alaska,1983,9181
02,Alaska,1984,10256
02,Alaska,1985,10566
02,Alaska,1986,10460
02,Alaska,1987,9904
02,Alaska,1988,10018
02,Alaska,1989,10323
02,Alaska,1990,10621
02,Alaska,1991,10820
02,Alaska,1992,11012
02,Alaska,1993,11312
02,Alaska,1994,11684
02,Alaska,1995,12066
02,Alaska,1996,12239
02,Alaska,1997,12441
02,Alaska,1998,12723
02,Alaska,1999,12781
02,Alaska,2000,12785
02,Alaska,2001,12730
02,Alaska,2002,12843
02,Alaska,2003,13068
02,Alaska,2004,13361
02,Alaska,2005,13551
02,Alaska,2006,13794
02,Alaska,2007,13833
02,Alaska,2008,13678
02,Alaska,2009,13561
02,Alaska,2010,13603
02,Alaska,2011,13612
02,Alaska,2012,13720
02,Alaska,2013,13795
02,Alaska,2014,13820
02,Alaska,2015,13921
02,Alaska,2016,14034
02,Alaska,2017,13979
02,Alaska,2018,14037
04,Arizona,1978,40042
04,Arizona,1979,42294
04,Arizona,1980,43894
04,Arizona,1981,45805
04,Arizona,1982,46899
04,Arizona,1983,49221
04,Arizona,1984,53001
04,Arizona,1985,56026
04,Arizona,1986,57692
04,Arizona,1987,59691
04,Arizona,1988,61972
04,Arizona,1989,62661
04,Arizona,1990,63516
04,Arizona,1991,64079
04,Arizona,1992,64975
04,Arizona,1993,67005
04,Arizona,1994,69780
04,Arizona,1995,72463
04,Arizona,1996,74315
04,Arizona,1997,76515
04,Arizona,1998,77938
04,Arizona,1999,79419
04,Arizona,2000,80271
04,Arizona,2001,81513
04,Arizona,2002,82105
04,Arizona,2003,83660
04,Arizona,2004,86028
04,Arizona,2005,89336
04,Arizona,2006,94664
04,Arizona,2007,97182
04,Arizona,2008,96276
04,Arizona,2009,91332
04,Arizona,2010,88457
04,Arizona,2011,87577
04,Arizona,2012,87774
04,Arizona,2013,88518
04,Arizona,2014,89448
04,Arizona,2015,90727
04,Arizona,2016,92513
04,Arizona,2017,94019
04,Arizona,2018,95482
05,Arkansas,1978,36821
05,Arkansas,1979,37250
05,Arkansas,1980,37057
05,Arkansas,1981,36818
05,Arkansas,1982,36204
05,Arkansas,1983,37183
05,Arkansas,1984,39236
05,Arkansas,1985,39591
05,Arkansas,1986,39482
05,Arkansas,1987,39549
05,Arkansas,1988,40139
05,Arkansas,1989,40531
05,Arkansas,1990,41362
05,Arkansas,1991,41236
05,Arkansas,1992,41708
05,Arkansas,1993,43077
05,Arkansas,1994,44218
05,Arkansas,1995,45420
05,Arkansas,1996,45793
05,Arkansas,1997,46053
05,Arkansas,1998,46036
05,Arkansas,1999,46052
05,Arkansas,2000,46170
05,Arkansas,2001,45611
05,Arkansas,2002,46004
05,Arkansas,2003,46517
05,Arkansas,2004,47068
05,Arkansas,2005,47527
05,Arkansas,2006,47887
05,Arkansas,2007,48029
05,Arkansas,2008,47447
05,Arkansas,2009,46617
05,Arkansas,2010,46127
05,Arkansas,2011,45703
05,Arkansas,2012,45646
05,Arkansas,2013,45507
05,Arkansas,2014,45398
05,Arkansas,2015,45337
05,Arkansas,2016,45669
05,Arkansas,2017,45771
05,Arkansas,2018,45821
06,California,1978,388167
06,California,1979,409260
06,California,1980,417693
06,California,1981,429111
06,California,1982,428293
06,California,1983,438923
06,California,1984,461614
06,California,1985,475896
06,California,1986,485992
06,California,1987,499970
06,California,1988,517463
06,California,1989,528706
06,California,1990,542302
06,California,1991,539838
06,California,1992,532548
06,California,1993,526945
06,California,1994,527616
06,California,1995,532357
06,California,1996,537533
06,California,1997,543194
06,California,1998,554143
06,California,1999,561686
06,California,2000,569684
06,California,2001,575392
06,California,2002,578723
06,California,2003,587503
06,California,2004,595371
06,California,2005,607480
06,California,2006,625061
06,California,2007,633052
06,California,2008,626773
06,California,2009,610271
06,California,2010,598927
06,California,2011,599746
06,California,2012,608205
06,California,2013,614222
06,California,2014,625384
06,California,2015,635579
06,California,2016,647486
06,California,2017,655520
06,California,2018,664454
08,Colorado,1978,55138
08,Colorado,1979,58322
08,Colorado,1980,59565
08,Colorado,1981,61181
08,Colorado,1982,62496
08,Colorado,1983,64842
08,Colorado,1984,68424
08,Colorado,1985,69586
08,Colorado,1986,69393
08,Colorado,1987,69241
08,Colorado,1988,70292
08,Colorado,1989,70820
08,Colorado,1990,72344
08,Colorado,1991,73784
08,Colorado,1992,75520
08,Colorado,1993,79440
08,Colorado,1994,83504
08,Colorado,1995,87365
08,Colorado,1996,89545
08,Colorado,1997,91879
08,Colorado,1998,94583
08,Colorado,1999,96535
08,Colorado,2000,98394
08,Colorado,2001,100209
08,Colorado,2002,100773
08,Colorado,2003,102329
08,Colorado,2004,104056
08,Colorado,2005,106938
08,Colorado,2006,110031
08,Colorado,2007,112062
08,Colorado,2008,111771
08,Colorado,2009,108759
08,Colorado,2010,106780
08,Colorado,2011,106482
08,Colorado,2012,107469
08,Colorado,2013,109001
08,Colorado,2014,111078
08,Colorado,2015,113273
08,Colorado,2016,115927
08,Colorado,2017,118087
08,Colorado,2018,120207
09,Connecticut,1978,56201
09,Connecticut,1979,58003
09,Connecticut,1980,58160
09,Connecticut,1981,59014
09,Connecticut,1982,59300
09,Connecticut,1983,60781
09,Connecticut,1984,63481
09,Connecticut,1985,64954
09,Connecticut,1986,66681
09,Connecticut,1987,68951
09,Connecticut,1988,71848
09,Connecticut,1989,72997
09,Connecticut,1990,72310
09,Connecticut,1991,69675
09,Connecticut,1992,68130
09,Connecticut,1993,68357
09,Connecticut,1994,68770
09,Connecticut,1995,69774
09,Connecticut,1996,69530
09,Connecticut,1997,69559
09,Connecticut,1998,69787
09,Connecticut,1999,69620
09,Connecticut,2000,69755
09,Connecticut,2001,69233
09,Connecticut,2002,68691
09,Connecticut,2003,68275
09,Connecticut,2004,68863
09,Connecticut,2005,69261
09,Connecticut,2006,69428
09,Connecticut,2007,68935
09,Connecticut,2008,68137
09,Connecticut,2009,66252
09,Connecticut,2010,65077
09,Connecticut,2011,64216
09,Connecticut,2012,64468
09,Connecticut,2013,64242
09,Connecticut,2014,64079
09,Connecticut,2015,63858
09,Connecticut,2016,64567
09,Connecticut,2017,63684
09,Connecticut,2018,63238
10,Delaware,1978,9940
10,Delaware,1979,10291
10,Delaware,1980,10292
10,Delaware,1981,10301
10,Delaware,1982,10340
10,Delaware,1983,10802
10,Delaware,1984,11181
10,Delaware,1985,11496
10,Delaware,1986,11985
10,Delaware,1987,12387
10,Delaware,1988,13038
10,Delaware,1989,13600
10,Delaware,1990,14103
10,Delaware,1991,14266
10,Delaware,1992,14297
10,Delaware,1993,14691
10,Delaware,1994,15012
10,Delaware,1995,15478
10,Delaware,1996,15642
10,Delaware,1997,15994
10,Delaware,1998,16473
10,Delaware,1999,16861
10,Delaware,2000,17282
10,Delaware,2001,17636
10,Delaware,2002,17535
10,Delaware,2003,17789
10,Delaware,2004,18119
10,Delaware,2005,18332
10,Delaware,2006,18352
10,Delaware,2007,18133
10,Delaware,2008,17841
10,Delaware,2009,17374
10,Delaware,2010,17154
10,Delaware,2011,17036
10,Delaware,2012,16917
10,Delaware,2013,16962
10,Delaware,2014,17098
10,Delaware,2015,17294
10,Delaware,2016,17723
10,Delaware,2017,17809
10,Delaware,2018,18068
11,District of Columbia,1978,12722
11,District of Columbia,1979,13015
11,District of Columbia,1980,12876
11,District of Columbia,1981,12948
11,District of Columbia,1982,13246
11,District of Columbia,1983,13836
11,District of Columbia,1984,13976
11,District of Columbia,1985,13895
11,District of Columbia,1986,14059
11,District of Columbia,1987,14169
11,District of Columbia,1988,14501
11,District of Columbia,1989,14518
11,District of Columbia,1990,14264
11,District of Columbia,1991,14210
11,District of Columbia,1992,14077
11,District of Columbia,1993,14119
11,District of Columbia,1994,14293
11,District of Columbia,1995,14392
11,District of Columbia,1996,14370
11,District of Columbia,1997,14262
11,District of Columbia,1998,14364
11,District of Columbia,1999,14338
11,District of Columbia,2000,14395
11,District of Columbia,2001,14318
11,District of Columbia,2002,14641
11,District of Columbia,2003,14615
11,District of Columbia,2004,14658
11,District of Columbia,2005,14988
11,District of Columbia,2006,15312
11,District of Columbia,2007,15379
11,District of Columbia,2008,15364
11,District of Columbia,2009,15323
11,District of Columbia,2010,15411
11,District of Columbia,2011,15575
11,District of Columbia,2012,15705
11,District of Columbia,2013,15916
11,District of Columbia,2014,16077
11,District of Columbia,2015,16296
11,District of Columbia,2016,16565
11,District of Columbia,2017,16692
11,District of Columbia,2018,16890
12,Florida,1978,165134
12,Florida,1979,173982
12,Florida,1980,181584
12,Florida,1981,190850
12,Florida,1982,193445
12,Florida,1983,203954
12,Florida,1984,215873
12,Florida,1985,224231
12,Florida,1986,231059
12,Florida,1987,239422
12,Florida,1988,251501
12,Florida,1989,258591
12,Florida,1990,265517
12,Florida,1991,265062
12,Florida,1992,268933
12,Florida,1993,278264
12,Florida,1994,285095
12,Florida,1995,290885
12,Florida,1996,294682
12,Florida,1997,297222
12,Florida,1998,301339
