fips,region,time,naics,firms
00,United States,1978,31-33,262770
00,United States,1979,31-33,259973
00,United States,1980,31-33,264218
00,United States,1981,31-33,272210
00,United States,1982,31-33,272086
00,United States,1983,31-33,273044
00,United States,1984,31-33,274238
00,United States,1985,31-33,282599
00,United States,1986,31-33,281962
00,United States,1987,31-33,282369
00,United States,1988,31-33,288328
00,United States,1989,31-33,291590
00,United States,1990,31-33,293927
00,United States,1991,31-33,294587
00,United States,1992,31-33,286907
00,United States,1993,31-33,288915
00,United States,1994,31-33,291279
00,United States,1995,31-33,293026
00,United States,1996,31-33,292248
00,United States,1997,31-33,292577
00,United States,1998,31-33,294346
00,United States,1999,31-33,290237
00,United States,2000,31-33,285703
00,United States,2001,31-33,284932
00,United States,2002,31-33,283667
00,United States,2003,31-33,276853
00,United States,2004,31-33,274068
00,United States,2005,31-33,269389
00,United States,2006,31-33,268773
00,United States,2007,31-33,269682
00,United States,2008,31-33,260572
00,United States,2009,31-33,250347
00,United States,2010,31-33,241495
00,United States,2011,31-33,238546
00,United States,2012,31-33,239585
00,United States,2013,31-33,235019
00,United States,2014,31-33,235195
00,United States,2015,31-33,234693
00,United States,2016,31-33,233909
00,United States,2017,31-33,231457
00,United States,2018,31-33,229145
00,United States,2019,31-33,227251
