fips,region,time,ba,bf,avg_speed_annual
01,Alabama,2004,,,
01,Alabama,2005,31435.0,6437.0,1.171630654438054
01,Alabama,2006,33986.0,5789.0,1.1942595472611026
01,Alabama,2007,33906.0,5101.0,1.245212786820945
01,Alabama,2008,31769.0,3962.0,1.299593434343434
01,Alabama,2009,29535.0,3589.0,1.386807917479788
01,Alabama,2010,30252.0,3692.0,1.4821743839696724
01,Alabama,2011,29304.0,3575.0,1.5391829882484611
01,Alabama,2012,29994.0,3474.0,1.5459348890809566
01,Alabama,2013,29541.0,3398.0,1.665317202714665
01,Alabama,2014,29261.0,3498.0,1.7063800515907137
01,Alabama,2015,31819.0,3565.0,1.7619831460674158
01,Alabama,2016,34695.0,3526.0,1.7645410628019325
01,Alabama,2017,36949.0,3758.0,
01,Alabama,2018,42075.0,4031.0,
01,Alabama,2019,41335.0,3928.0,
01,Alabama,2020,59248.0,4683.0,
01,Alabama,2021,,,
02,Alaska,2004,,,
02,Alaska,2005,4768.0,,
02,Alaska,2006,5218.0,,
02,Alaska,2007,5192.0,,
02,Alaska,2008,4902.0,,
02,Alaska,2009,4453.0,,
02,Alaska,2010,4700.0,,
02,Alaska,2011,5145.0,,
02,Alaska,2012,5256.0,,
02,Alaska,2013,5386.0,,
02,Alaska,2014,5395.0,,
02,Alaska,2015,5968.0,,
02,Alaska,2016,6376.0,,
02,Alaska,2017,7363.0,997.0,
02,Alaska,2018,9181.0,1108.0,
02,Alaska,2019,8155.0,1041.0,
02,Alaska,2020,7937.0,983.0,
02,Alaska,2021,,,
04,Arizona,2004,,,
04,Arizona,2005,57235.0,12436.0,1.568052720405047
04,Arizona,2006,63286.0,11212.0,1.6395426584648303
04,Arizona,2007,65117.0,9452.0,1.6363126718849166
04,Arizona,2008,62164.0,6975.0,1.6938067937508956
04,Arizona,2009,58679.0,6344.0,1.865794701986755
04,Arizona,2010,58444.0,6391.0,1.8057809076682316
04,Arizona,2011,58291.0,6214.0,1.8499694140373466
04,Arizona,2012,55709.0,6001.0,1.8446457742957159
04,Arizona,2013,55949.0,6143.0,1.9554355968083377
04,Arizona,2014,55816.0,6179.0,2.037711370262391
04,Arizona,2015,57729.0,6391.0,2.1348794614902946
04,Arizona,2016,61951.0,6567.0,2.1329126065773445
04,Arizona,2017,68057.0,7166.0,
04,Arizona,2018,73817.0,7511.0,
04,Arizona,2019,76476.0,7818.0,
04,Arizona,2020,88995.0,8375.0,
04,Arizona,2021,,,
