fips,region,naics,industry,time,ba,bf,avg_speed_annual
00,United States,31-33,Manufacturing,2004,,,
00,United States,31-33,Manufacturing,2005,58096.0,13489.0,1.4298732300392913
00,United States,31-33,Manufacturing,2006,61301.0,13097.0,1.469882415820417
00,United States,31-33,Manufacturing,2007,61708.0,11732.0,1.439467269007842
00,United States,31-33,Manufacturing,2008,58648.0,9353.0,1.530226665241099
00,United States,31-33,Manufacturing,2009,54504.0,8592.0,1.7882530260707634
00,United States,31-33,Manufacturing,2010,55700.0,8644.0,1.8187170291531698
00,United States,31-33,Manufacturing,2011,57237.0,9036.0,1.8082082779991147
00,United States,31-33,Manufacturing,2012,58166.0,9048.0,1.8396606984969055
00,United States,31-33,Manufacturing,2013,59955.0,9250.0,2.0025794594594597
00,United States,31-33,Manufacturing,2014,59274.0,8962.0,2.0535036822137918
00,United States,31-33,Manufacturing,2015,61818.0,9214.0,2.0729455176904708
00,United States,31-33,Manufacturing,2016,62665.0,8745.0,2.08125786163522
00,United States,31-33,Manufacturing,2017,66373.0,8449.0,2.0956349863889217
00,United States,31-33,Manufacturing,2018,64600.0,8520.0,
00,United States,31-33,Manufacturing,2019,64265.0,8103.0,
00,United States,31-33,Manufacturing,2020,72392.0,8198.0,
00,United States,31-33,Manufacturing,2021,,,
