fips,region,time,population
01,Alabama,2000,4452173
01,Alabama,2001,4467634
01,Alabama,2002,4480089
01,Alabama,2003,4503491
01,Alabama,2004,4530729
01,Alabama,2005,4569805
01,Alabama,2006,4628981
01,Alabama,2007,4672840
01,Alabama,2008,4718206
01,Alabama,2009,4757938
01,Alabama,2010,4785437
01,Alabama,2011,4799069
01,Alabama,2012,4815588
01,Alabama,2013,4830081
01,Alabama,2014,4841799
01,Alabama,2015,4852347
01,Alabama,2016,4863525
01,Alabama,2017,4874486
01,Alabama,2018,4887681
01,Alabama,2019,4903185
02,Alaska,2000,627963
02,Alaska,2001,633714
02,Alaska,2002,642337
02,Alaska,2003,648414
02,Alaska,2004,659286
02,Alaska,2005,666946
02,Alaska,2006,675302
02,Alaska,2007,680300
02,Alaska,2008,687455
02,Alaska,2009,698895
02,Alaska,2010,713910
02,Alaska,2011,722128
02,Alaska,2012,730443
02,Alaska,2013,737068
02,Alaska,2014,736283
02,Alaska,2015,737498
02,Alaska,2016,741456
02,Alaska,2017,739700
02,Alaska,2018,735139
02,Alaska,2019,731545
04,Arizona,2000,5160586
04,Arizona,2001,5273477
04,Arizona,2002,5396255
04,Arizona,2003,5510364
04,Arizona,2004,5652404
04,Arizona,2005,5839077
04,Arizona,2006,6029141
04,Arizona,2007,6167681
04,Arizona,2008,6280362
04,Arizona,2009,6343154
04,Arizona,2010,6407172
04,Arizona,2011,6472643
04,Arizona,2012,6554978
04,Arizona,2013,6632764
04,Arizona,2014,6730413
04,Arizona,2015,6829676
04,Arizona,2016,6941072
04,Arizona,2017,7044008
04,Arizona,2018,7158024
04,Arizona,2019,7278717
05,Arkansas,2000,2678588
05,Arkansas,2001,2691571
05,Arkansas,2002,2705927
05,Arkansas,2003,2724816
05,Arkansas,2004,2749686
05,Arkansas,2005,2781097
05,Arkansas,2006,2821761
05,Arkansas,2007,2848650
05,Arkansas,2008,2874554
05,Arkansas,2009,2896843
05,Arkansas,2010,2921964
05,Arkansas,2011,2940667
05,Arkansas,2012,2952164
05,Arkansas,2013,2959400
05,Arkansas,2014,2967392
05,Arkansas,2015,2978048
05,Arkansas,2016,2989918
05,Arkansas,2017,3001345
05,Arkansas,2018,3009733
05,Arkansas,2019,3017804
06,California,2000,33987977
06,California,2001,34479458
06,California,2002,34871843
06,California,2003,35253159
06,California,2004,35574576
06,California,2005,35827943
06,California,2006,36021202
06,California,2007,36250311
06,California,2008,36604337
06,California,2009,36961229
06,California,2010,37319502
06,California,2011,37638369
06,California,2012,37948800
06,California,2013,38260787
06,California,2014,38596972
06,California,2015,38918045
06,California,2016,39167117
06,California,2017,39358497
06,California,2018,39461588
06,California,2019,39512223
08,Colorado,2000,4326921
08,Colorado,2001,4425687
08,Colorado,2002,4490406
08,Colorado,2003,4528732
08,Colorado,2004,4575013
08,Colorado,2005,4631888
08,Colorado,2006,4720423
08,Colorado,2007,4803868
08,Colorado,2008,4889730
08,Colorado,2009,4972195
08,Colorado,2010,5047349
08,Colorado,2011,5121108
08,Colorado,2012,5192647
08,Colorado,2013,5269035
08,Colorado,2014,5350101
08,Colorado,2015,5450623
08,Colorado,2016,5539215
08,Colorado,2017,5611885
08,Colorado,2018,5691287
08,Colorado,2019,5758736
09,Connecticut,2000,3411777
09,Connecticut,2001,3432835
09,Connecticut,2002,3458749
09,Connecticut,2003,3484336
09,Connecticut,2004,3496094
09,Connecticut,2005,3506956
09,Connecticut,2006,3517460
09,Connecticut,2007,3527270
09,Connecticut,2008,3545579
09,Connecticut,2009,3561807
09,Connecticut,2010,3579114
09,Connecticut,2011,3588283
09,Connecticut,2012,3594547
09,Connecticut,2013,3594841
09,Connecticut,2014,3594524
09,Connecticut,2015,3587122
09,Connecticut,2016,3578141
09,Connecticut,2017,3573297
09,Connecticut,2018,3571520
09,Connecticut,2019,3565287
10,Delaware,2000,786373
10,Delaware,2001,795699
10,Delaware,2002,806169
10,Delaware,2003,818003
10,Delaware,2004,830803
10,Delaware,2005,845150
10,Delaware,2006,859268
10,Delaware,2007,871749
10,Delaware,2008,883874
10,Delaware,2009,891730
10,Delaware,2010,899593
10,Delaware,2011,907381
10,Delaware,2012,915179
10,Delaware,2013,923576
10,Delaware,2014,932487
10,Delaware,2015,941252
10,Delaware,2016,948921
10,Delaware,2017,956823
10,Delaware,2018,965479
10,Delaware,2019,973764
11,District of Columbia,2000,572046
11,District of Columbia,2001,574504
11,District of Columbia,2002,573158
11,District of Columbia,2003,568502
11,District of Columbia,2004,567754
11,District of Columbia,2005,567136
11,District of Columbia,2006,570681
11,District of Columbia,2007,574404
11,District of Columbia,2008,580236
11,District of Columbia,2009,592228
11,District of Columbia,2010,605226
11,District of Columbia,2011,619800
11,District of Columbia,2012,634924
11,District of Columbia,2013,650581
11,District of Columbia,2014,662328
11,District of Columbia,2015,675400
11,District of Columbia,2016,685815
11,District of Columbia,2017,694906
11,District of Columbia,2018,701547
11,District of Columbia,2019,705749
12,Florida,2000,16047515
12,Florida,2001,16356966
12,Florida,2002,16689370
12,Florida,2003,17004085
12,Florida,2004,17415318
12,Florida,2005,17842038
12,Florida,2006,18166990
12,Florida,2007,18367842
12,Florida,2008,18527305
12,Florida,2009,18652644
12,Florida,2010,18845537
12,Florida,2011,19053237
12,Florida,2012,19297822
12,Florida,2013,19545621
12,Florida,2014,19845911
